"Isolation","Trait","Observed_PP","Percent_PP"
"Tree","Galactose",537,0.998
"Tree","Lactose",246,0.587
"Tree","Trehalose",474,0.397
"Tree","Maltose",448,0.797
"Tree","Melezitose",401,0.721
"Tree","Methyl-?-D-glucoside",406,0.794
"Tree","Soluble Starch",274,0.113
"Tree","Cellobiose",428,0.131
"Tree","Salicin",427,0.137
"Tree","L-Sorbose",435,0.809
"Tree","L-Rhamnose",261,0.133
"Tree","D-Xylose",456,0.101
"Tree","L-Arabinose",326,0.3
"Tree","D-Arabinose",277,0.056
"Tree","D-Ribose",346,0.289
"Tree","Methanol",205,0.059
"Tree","Ethanol",544,0.271
"Tree","Glycerol",579,0.629
"Tree","Erythritol",290,0.243
"Tree","Ribitol",445,0.501
"Tree","Galactitol",264,0.813
"Tree","D-Mannitol",516,0.152
"Tree","D-Glucitol",515,0.271
"Tree","myo-Inositol",225,0.275
"Tree","DL-Lactate",393,0.676
"Tree","Succinate",534,0.233
"Tree","Citrate",461,0.701
"Tree","D-Gluconate",451,0.872
"Tree","D-Glucosamine",354,0.555
"Tree","Nitrate",216,0.005
"Tree","Vitamin-free",247,0.073
"Tree","2-Keto-D-gluconate",413,0.918
"Tree","Starch formation",231,0.123
"Tree","Growth at 19°C",624,0.854
"Tree","Growth at 25°C",626,0.795
"Tree","Growth at 30°C",618,0.992
"Tree","Growth at 37°C",393,0.894
"Stone.Chamber","Glucose_F",605,0.924
"Stone.Chamber","Galactose_F",257,0.809
"Stone.Chamber","Sucrose_F",211,1
"Stone.Chamber","Maltose_F",167,1
"Stone.Chamber","Lactose_F",31,1
"Stone.Chamber","Raffinose_F",134,1
"Stone.Chamber","Trehalose_F",261,0.887
"Stone.Chamber","Glucose",829,1
"Stone.Chamber","Inulin",108,0.852
"Stone.Chamber","Sucrose",501,0.922
"Stone.Chamber","Raffinose",239,1
"Stone.Chamber","Melibiose",105,1
"Stone.Chamber","Galactose",539,0.92
"Stone.Chamber","Lactose",100,0.879
"Stone.Chamber","Trehalose",576,0.952
"Stone.Chamber","Maltose",466,0.91
"Stone.Chamber","Melezitose",383,0.956
"Stone.Chamber","Methyl-?-D-glucoside",388,0.957
"Stone.Chamber","Soluble Starch",198,1
"Stone.Chamber","Cellobiose",522,0.928
"Stone.Chamber","Salicin",515,0.938
"Stone.Chamber","L-Sorbose",435,0.879
"Stone.Chamber","L-Rhamnose",181,0.866
"Stone.Chamber","D-Xylose",576,0.945
"Stone.Chamber","L-Arabinose",286,0.832
"Stone.Chamber","D-Arabinose",245,0.812
"Stone.Chamber","D-Ribose",336,0.845
"Stone.Chamber","Methanol",69,1
"Stone.Chamber","Ethanol",698,0.962
"Stone.Chamber","Glycerol",735,0.985
"Stone.Chamber","Erythritol",218,0.795
"Stone.Chamber","Ribitol",499,0.918
"Stone.Chamber","Galactitol",102,1
"Stone.Chamber","D-Mannitol",670,0.972
"Stone.Chamber","D-Glucitol",657,0.973
"Stone.Chamber","myo-Inositol",77,1
"Stone.Chamber","DL-Lactate",381,0.948
"Stone.Chamber","Succinate",690,0.965
"Stone.Chamber","Citrate",511,0.904
"Stone.Chamber","D-Gluconate",457,0.925
"Stone.Chamber","D-Glucosamine",312,0.828
