sp1,sp2,sp1_inc,sp2_inc,obs_cooccur,prob_cooccur,exp_cooccur,p_lt,p_gt,sp1_name,sp2_name,Association
4,43,17,209,5,0.005,4.3,0.76252,0.43192,Spoiled,Sucrose_F,Random
4,44,17,165,1,0.004,3.4,0.11844,0.97772,Spoiled,Maltose_F,Random
4,46,17,132,3,0.003,2.7,0.72173,0.52284,Spoiled,Raffinose_F,Random
4,47,17,261,4,0.006,5.3,0.3392,0.83376,Spoiled,Trehalose_F,Random
4,48,17,831,17,0.02,17,1,1,Spoiled,Glucose,Random
4,49,17,108,1,0.003,2.2,0.32907,0.90851,Spoiled,Inulin,Random
4,50,17,503,9,0.012,10.3,0.34128,0.81597,Spoiled,Sucrose,Random
4,51,17,237,6,0.006,4.8,0.81711,0.34996,Spoiled,Raffinose,Random
4,52,17,103,4,0.003,2.1,0.95156,0.1488,Spoiled,Melibiose,Random
4,53,17,541,11,0.013,11.1,0.57802,0.62308,Spoiled,Galactose,Random
4,54,17,100,4,0.002,2,0.95669,0.13725,Spoiled,Lactose,Random
4,55,17,578,8,0.014,11.8,0.04242,0.98669,Spoiled,Trehalose,Negative
4,56,17,468,7,0.012,9.6,0.15284,0.93509,Spoiled,Maltose,Random
4,57,17,383,6,0.009,7.8,0.25763,0.87521,Spoiled,Melezitose,Random
4,58,17,388,7,0.01,7.9,0.41734,0.75845,Spoiled,Methyl-?-D-glucoside,Random
4,59,17,196,4,0.005,4,0.62839,0.59699,Spoiled,Soluble Starch,Random
4,60,17,524,9,0.013,10.7,0.26408,0.86935,Spoiled,Cellobiose,Random
4,61,17,517,9,0.013,10.6,0.28897,0.85278,Spoiled,Salicin,Random
4,62,17,437,10,0.011,8.9,0.777,0.39368,Spoiled,L-Sorbose,Random
4,63,17,181,2,0.004,3.7,0.2472,0.91417,Spoiled,L-Rhamnose,Random
4,64,17,578,9,0.014,11.8,0.11014,0.95758,Spoiled,D-Xylose,Random
4,65,17,288,7,0.007,5.9,0.79828,0.36877,Spoiled,L-Arabinose,Random
4,66,17,247,6,0.006,5.1,0.78501,0.39279,Spoiled,D-Arabinose,Random
4,67,17,338,6,0.008,6.9,0.42423,0.75672,Spoiled,D-Ribose,Random
4,68,17,67,1,0.002,1.4,0.59555,0.76393,Spoiled,Methanol,Random
4,69,17,700,15,0.017,14.3,0.77667,0.48272,Spoiled,Ethanol,Random
4,70,17,737,15,0.018,15.1,0.59083,0.69971,Spoiled,Glycerol,Random
4,71,17,220,5,0.005,4.5,0.72004,0.48292,Spoiled,Erythritol,Random
4,72,17,501,10,0.012,10.2,0.54313,0.65101,Spoiled,Ribitol,Random
4,73,17,100,5,0.002,2,0.98931,0.04331,Spoiled,Galactitol,Positive
4,74,17,672,11,0.017,13.7,0.08671,0.97126,Spoiled,D-Mannitol,Random
4,75,17,659,11,0.016,13.5,0.11824,0.95711,Spoiled,D-Glucitol,Random
4,76,17,75,1,0.002,1.5,0.53647,0.80298,Spoiled,myo-Inositol,Random
4,77,17,381,10,0.009,7.8,0.90827,0.20059,Spoiled,DL-Lactate,Random
4,78,17,692,13,0.017,14.2,0.31294,0.86092,Spoiled,Succinate,Random
4,79,17,513,8,0.013,10.5,0.15724,0.9326,Spoiled,Citrate,Random
4,80,17,459,7,0.011,9.4,0.17573,0.92253,Spoiled,D-Gluconate,Random
4,81,17,314,5,0.008,6.4,0.32682,0.83412,Spoiled,D-Glucosamine,Random
